medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Gold,Pabst Blue Ribbon (PBR),Pabst Brewing Co.,Los Angeles,CA,American-Style Lager or Ice Lager or Malt Liquor,2016,lager,158693,West,California,Pacific
Silver,Coors Banquet,Coors Brewing Co.,Golden,CO,American-Style Lager or Ice Lager or Malt Liquor,2016,lager,104247,West,Colorado,Mountain
Bronze,Lager,Craft Brew Alliance - Omission,Portland,OR,American-Style Lager or Ice Lager or Malt Liquor,2016,lager,96981,West,Oregon,Pacific
Gold,#10 American Lager,Brown Truck Brewery,High Point,NC,American-Style Light Lager or German-Style Light Lager,2016,lager,52586,South,North Carolina,South Atlantic
Silver,Lightner Creek Lager,Carver Brewing Co.,Durango,CO,American-Style Light Lager or German-Style Light Lager,2016,lager,104247,West,Colorado,Mountain
Bronze,Coors Light,Coors Brewing Co.,Golden,CO,American-Style Light Lager or German-Style Light Lager,2016,lager,104247,West,Colorado,Mountain
Gold,Robot Crush,Aeronaut Brewing Co.,Somerville,MA,American-Style or International-Style Pilsener,2016,pilsener,8257,Northeast,Massachusetts,New England
Silver,Pelicano Extra!,Pelican Brewing Co.,Tillamook,OR,American-Style or International-Style Pilsener,2016,pilsener,96981,West,Oregon,Pacific
Gold,Stick's Pale Ale,Bootstrap Brewing Co.,Niwot,CO,American-Style Pale Ale,2016,ale,104247,West,Colorado,Mountain
Bronze,The Charlatan,Maplewood Brewery,Chicago,IL,American-Style Pale Ale,2016,ale,56400,North Central,Illinois,East North Central
Gold,Queen of Tarts,Karl Strauss Brewing Co. - San Diego,San Diego,CA,American-Style Sour Ale,2016,ale,158693,West,California,Pacific
Silver,Heart of Gold,Great Notion Brewing,Portland,OR,American-Style Sour Ale,2016,ale,96981,West,Oregon,Pacific
Gold,P2P,10 Barrel Brewing Co.,Bend,OR,American-Style Stout,2016,stout,96981,West,Oregon,Pacific
Silver,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2016,stout,83557,West,Idaho,Mountain
Bronze,The Volcanist,Societe Brewing Co.,San Diego,CA,American-Style Stout,2016,stout,158693,West,California,Pacific
Gold,Good Green,Highland Park Brewery,Los Angeles,CA,American-Style Strong Pale Ale,2016,ale,158693,West,California,Pacific
Bronze,HFS,Alpine Beer Co.,San Diego,CA,American-Style Strong Pale Ale,2016,ale,158693,West,California,Pacific
Gold,Tumblewheat,Altitude Chophouse and Brewery,Laramie,WY,American-Style Wheat Beer,2016,wheat,97914,West,Wyoming,Mountain
Silver,Shredder's Wheat,Barley Brown's Beer,Baker City,OR,American-Style Wheat Beer,2016,wheat,96981,West,Oregon,Pacific
Bronze,Flash Bang,Excel Brewing Co.,Breese,IL,American-Style Wheat Beer,2016,wheat,56400,North Central,Illinois,East North Central
Gold,White Noise,Uberbrew,Billings,MT,American-Style Wheat Beer With Yeast,2016,wheat,147138,West,Montana,Mountain
Silver,Medley of Moods,Gibb's Hundred Brewing Co.,Greensboro,NC,American-Style Wheat Beer With Yeast,2016,wheat,52586,South,North Carolina,South Atlantic
Gold,Drop Bear Australian Pale Ale,Lynnwood Brewing Concern,Raleigh,NC,Australian-Style or International-Style Pale Ale,2016,ale,52586,South,North Carolina,South Atlantic
Silver,Mai Tai P.A.,Alvarado Street Brewery,Salinas,CA,Australian-Style or International-Style Pale Ale,2016,ale,158693,West,California,Pacific
Bronze,Breakside Lunch Break ISA,Breakside Brewery & Taproom,Milwaukie,OR,Australian-Style or International-Style Pale Ale,2016,ale,96981,West,Oregon,Pacific
Gold,Danzig,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,Baltic-Style Porter,2016,porter,40815,South,Virginia,South Atlantic
Silver,Dark Reckoning,Morgan Territory Brewing,Tracy,CA,Baltic-Style Porter,2016,porter,158693,West,California,Pacific
Bronze,Toad Choker Barley Wine,Nine-Band Brewing Co.,Allen,TX,Barley Wine-Style Ale,2016,ale,267339,South,Texas,West South Central
Gold,Domaine DuPage,Two Brothers Brewing Co.,Warrenville,IL,Belgian- and French-Style Ale,2016,ale,56400,North Central,Illinois,East North Central
Silver,Swingin' Single,Piece Brewery,Chicago,IL,Belgian- and French-Style Ale,2016,ale,56400,North Central,Illinois,East North Central
Bronze,Antonym,2SP Brewing Co.,Aston,PA,Belgian- and French-Style Ale,2016,ale,45333,Northeast,Pennsylvania,Middle Atlantic
Gold,Solid Gold,Cannonball Creek Brewing Co.,Golden,CO,Belgian-Style Blonde Ale or Pale Ale,2016,ale,104247,West,Colorado,Mountain
Silver,Lunatic,Wicked Weed Brewing - Asheville,Asheville,NC,Belgian-Style Blonde Ale or Pale Ale,2016,ale,52586,South,North Carolina,South Atlantic
Bronze,Sunken Road,Spencer Devon Brewing,Fredericksburg,VA,Belgian-Style Blonde Ale or Pale Ale,2016,ale,40815,South,Virginia,South Atlantic
Gold,Abbey Dubbel,Elm City Brewing Co.,Keene,NH,Belgian-Style Dubbel or Quadrupel,2016,other,9304,Northeast,New Hampshire,New England
Bronze,Flyin' Monks,Adelbert's Brewery,Austin,TX,Belgian-Style Dubbel or Quadrupel,2016,other,267339,South,Texas,West South Central
Gold,Apricot Wheat,Wiens Brewing Co./Wiens Family Cellars,Temecula,CA,Belgian-Style Fruit Beer,2016,fruit,158693,West,California,Pacific
Silver,Cherry Busey,Sun King Brewing Co.,Indianapolis,IN,Belgian-Style Fruit Beer,2016,fruit,36291,North Central,Indiana,East North Central
Bronze,Cerasus,Logsdon Farmhouse Ales,Hood River,OR,Belgian-Style Fruit Beer,2016,fruit,96981,West,Oregon,Pacific
Gold,Hexotic,Two Roads Brewing Co.,Stratford,CT,Belgian-Style Lambic or Sour Ale,2016,ale,5009,Northeast,Connecticut,New England
Bronze,Roes Red,Pure Project,San Diego,CA,Belgian-Style Lambic or Sour Ale,2016,ale,158693,West,California,Pacific
Silver,Monk in Public,Maize Valley Craft Brewery,Hartville,OH,Belgian-Style Strong Specialty Ale,2016,ale,41222,North Central,Ohio,East North Central
Bronze,Treachery,12Degree Brewing,Louisville,CO,Belgian-Style Strong Specialty Ale,2016,ale,104247,West,Colorado,Mountain
Gold,Allagash Tripel,Allagash Brewing Co.,Portland,ME,Belgian-Style Tripel,2016,other,33215,Northeast,Maine,New England
Bronze,Tripel Dog Dare,Big Dog's Brewing Co.,Las Vegas,NV,Belgian-Style Tripel,2016,other,110540,West,Nevada,Mountain
Gold,Ommegang Witte Ale,Brewery Ommegang,Cooperstown,NY,Belgian-Style Witbier,2016,witbier,49576,Northeast,New York,Middle Atlantic
Silver,Wit's End Ale,Great American Restaurants - Sweetwater Tavern,Centreville,VA,Belgian-Style Witbier,2016,witbier,40815,South,Virginia,South Atlantic
Bronze,Witbier,Community Beer Co.,Dallas,TX,Belgian-Style Witbier,2016,witbier,267339,South,Texas,West South Central
Gold,Breakline Bock,Rip Current Brewery,San Marcos,CA,Bock,2016,bock,158693,West,California,Pacific
Silver,Numbskull,Swamp Rabbit Brewery & Taproom,Travelers Rest,SC,Bock,2016,bock,31055,South,South Carolina,South Atlantic
Bronze,Bridge Street Bock,Iron Hill Brewery & Restaurant - Phoenixville,Phoenixville,PA,Bock,2016,bock,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Polaris Pilsner,Chainline Brewing Co.,Kirkland,WA,Bohemian-Style Pilsener,2016,pilsener,68192,West,Washington,Pacific
Bronze,Torch Pilsner,Foothills Brewing Co.,Winston-Salem,NC,Bohemian-Style Pilsener,2016,pilsener,52586,South,North Carolina,South Atlantic
Gold,Touch of Brett,Alesong Brewing & Blending,Eugene,OR,Brett Beer,2016,other,96981,West,Oregon,Pacific
Silver,Dreamy Thing,Cerebral Brewing,Denver,CO,Brett Beer,2016,other,104247,West,Colorado,Mountain
Bronze,Brett Saison,Ardent Craft Ales,Richmond,VA,Brett Beer,2016,other,40815,South,Virginia,South Atlantic
Silver,Black Shack Porter,Wachusett Brewing Co.,Westminster,MA,Brown Porter,2016,porter,8257,Northeast,Massachusetts,New England
Silver,The Contender IPA with Fresh Chilis,Duck Foot Brewing Co.,San Diego,CA,Chili Beer,2016,other,158693,West,California,Pacific
Bronze,Vengeance! Jalapeno Cream Ale,Jack Pine Brewery,Baxter,MN,Chili Beer,2016,other,84068,North Central,Minnesota,West North Central
Gold,Chaos,RAM/Big Horn Brewery - Wheeling,Wheeling,IL,Chocolate Beer,2016,flavored,56400,North Central,Illinois,East North Central
Silver,The Ticket Chocolate Beer,ZwanzigZ Brewing,Columbus,IN,Chocolate Beer,2016,flavored,36291,North Central,Indiana,East North Central
Bronze,4th Gear (4th Anniversary),Kinetic Brewing Co.,Lancaster,CA,Chocolate Beer,2016,flavored,158693,West,California,Pacific
Gold,Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Classic English-Style Pale Ale,2016,ale,84068,North Central,Minnesota,West North Central
Silver,Breakside ESB,Breakside Brewery,Portland,OR,Classic English-Style Pale Ale,2016,ale,96981,West,Oregon,Pacific
Bronze,HopFish IPA,Flying Fish Brewing Co.,Somerdale,NJ,Classic English-Style Pale Ale,2016,ale,7836,Northeast,New Jersey,Middle Atlantic
Gold,Big Drought Stout,Solid Rock Brewing,Spicewood,TX,Classic Irish-Style Dry Stout,2016,stout,267339,South,Texas,West South Central
Silver,Love Stout,Yards Brewing Co.,Philadelphia,PA,Classic Irish-Style Dry Stout,2016,stout,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,Bangin The Mash,Latitude 42=C2=B0 Brewing Co.,Portage,MI,Classic Irish-Style Dry Stout,2016,stout,58216,North Central,Michigan,East North Central
Gold,Achtertuin Seizoen Farmhouse Ale,The Post Brewing Co.,Lafayette,CO,Classic Saison,2016,saison,104247,West,Colorado,Mountain
Silver,Meriwether,Perennial Artisan Ales,St. Louis,MO,Classic Saison,2016,saison,69686,North Central,Missouri,West North Central
Bronze,Saison,Baere Brewing Co.,Denver,CO,Classic Saison,2016,saison,104247,West,Colorado,Mountain
Gold,Gusto Crema,Georgetown Brewing Co.,Seattle,WA,Coffee Beer,2016,flavored,68192,West,Washington,Pacific
Gold,Dortmunder Mifflin,Emmett's Tavern & Brewing Co. - Palatine,Palatine,IL,Dortmunder or German-Style Oktoberfest,2016,other german-style,56400,North Central,Illinois,East North Central
Silver,Longboard Island Lager,Craft Brew Alliance - Kona Brewery,Kailua-Kona,HI,Dortmunder or German-Style Oktoberfest,2016,other german-style,6450,West,Hawaii,Pacific
Bronze,Figtoberfest,Figueroa Mountain Brewing - Westlake Village,Westlake Village,CA,Dortmunder or German-Style Oktoberfest,2016,other german-style,158693,West,California,Pacific
Gold,The Red Glove,Boxing Bear Brewing Co.,Albuquerque,NM,Double Red Ale,2016,ale,121666,West,New Mexico,Mountain
Bronze,RIPA,Carson's Brewery,Evansville,IN,Double Red Ale,2016,ale,36291,North Central,Indiana,East North Central
Gold,Tri-Town Brown,Echo Brewing Cask and Barrel,Erie,CO,English-Style Brown Ale,2016,ale,104247,West,Colorado,Mountain
Silver,Sir Williams,Grapevine Craft Brewery,Grapevine,TX,English-Style Brown Ale,2016,ale,267339,South,Texas,West South Central
Bronze,Not Brown,CooperSmith's Pub & Brewing,Fort Collins,CO,English-Style Brown Ale,2016,ale,104247,West,Colorado,Mountain
Gold,Gatecrasher,Temperance Beer Co.,Evanston,IL,English-Style India Pale Ale,2016,ale,56400,North Central,Illinois,East North Central
Silver,Face Plant,Lost Rhino Brewing Co.,Ashburn,VA,English-Style India Pale Ale,2016,ale,40815,South,Virginia,South Atlantic
Bronze,Live Wire,Roak Brewing Co.,Royal Oak,MI,English-Style India Pale Ale,2016,ale,58216,North Central,Michigan,East North Central
Gold,Workman's Compensation,Lion Bridge Brewing Co.,Cedar Rapids,IA,English-Style Mild Ale,2016,ale,56290,North Central,Iowa,West North Central
Bronze,Old Town Brown,Auburn Alehouse,Auburn,CA,English-Style Mild Ale,2016,ale,158693,West,California,Pacific
Silver,Ridgway Blonde,Colorado Boy Pub & Brewery,Ridgway,CO,English-Style Summer Ale,2016,ale,104247,West,Colorado,Mountain
Bronze,Liquid AC,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA,English-Style Summer Ale,2016,ale,158693,West,California,Pacific
Gold,I Dunkled in My Pants,Figueroa Mountain Brewing - Buellton,Buellton,CA,European-Style Dark Lager/Munich-Style Dunkel,2016,lager,158693,West,California,Pacific
Silver,Piney Ridge Dunkel,Front Range Brewing Co.,Lafayette,CO,European-Style Dark Lager/Munich-Style Dunkel,2016,lager,104247,West,Colorado,Mountain
Bronze,Prunkle's Dunkle,Horse Thief Hollow Brewery,Chicago,IL,European-Style Dark Lager/Munich-Style Dunkel,2016,lager,56400,North Central,Illinois,East North Central
Silver,Wineification II,The Bruery,Placentia,CA,Experimental Beer,2016,other,158693,West,California,Pacific
Bronze,Oyster Weiss,Scratch Brewing Co.,Ava,IL,Experimental Beer,2016,other,56400,North Central,Illinois,East North Central
Gold,Dirty Frank Stout,River's Edge Brewing Co.,Milford,MI,Export Stout,2016,stout,58216,North Central,Michigan,East North Central
Silver,"Fade to Black, Volume 1",Left Hand Brewing Co.,Longmont,CO,Export Stout,2016,stout,104247,West,Colorado,Mountain
Bronze,Starway Stout,Barrel Mountain Brewing,Battle Ground,WA,Export Stout,2016,stout,68192,West,Washington,Pacific
Gold,Redfeather,Black Raven Brewing Co.,Redmond,WA,Extra Special Bitter,2016,bitter,68192,West,Washington,Pacific
Silver,Red Fish,Flying Fish Brewing Co.,Somerdale,NJ,Extra Special Bitter,2016,bitter,7836,Northeast,New Jersey,Middle Atlantic
Bronze,Mother Earth ESB,Mother Earth Brew Co.,Vista,CA,Extra Special Bitter,2016,bitter,158693,West,California,Pacific
Gold,Imperial Coconut Porter,Maui Brewing Co. - Production,Kihei,HI,Field Beer,2016,other,6450,West,Hawaii,Pacific
Silver,Slam Piece,Coppertail Brewing,Tampa,FL,Field Beer,2016,other,58560,South,Florida,South Atlantic
Bronze,Redbud with Cucumber,Independence Brewing Co.,Austin,TX,Field Beer,2016,other,267339,South,Texas,West South Central
Silver,Acequia IPA,Bosque Brewing Co.,Albuquerque,NM,Fresh or Wet Hop Ale,2016,ale,121666,West,New Mexico,Mountain
Gold,Mexican Spring,515 Brewing Co.,Clive,IA,Fruit Wheat Beer,2016,wheat,56290,North Central,Iowa,West North Central
Silver,Mango Wheat,Blue Moon Brewing Co.,Denver,CO,Fruit Wheat Beer,2016,wheat,104247,West,Colorado,Mountain
Bronze,Apricot Hefeweizen,Wasatch Brewery,Salt Lake City,UT,Fruit Wheat Beer,2016,wheat,84916,West,Utah,Mountain
Gold,Razz-Jerry Tart,BJ's Restaurant & Brewery - Brea,Brea,CA,Fruited Wood- and Barrel-Aged Sour Beer,2016,aged,158693,West,California,Pacific
Bronze,Pi,Propolis Brewing,Port Townsend,WA,Fruited Wood- and Barrel-Aged Sour Beer,2016,aged,68192,West,Washington,Pacific
Gold,Little Red Cap,Grimm Brothers Brewhouse,Loveland,CO,German-Style Altbier,2016,altbier,104247,West,Colorado,Mountain
Silver,Deep Roots,Red Cypress Brewery,Winter Springs,FL,German-Style Altbier,2016,altbier,58560,South,Florida,South Atlantic
Gold,Warning Sign,Rockyard American Grill & Brewing Co.,Castle Rock,CO,German-Style Doppelbock or Eisbock,2016,bock,104247,West,Colorado,Mountain
Bronze,Apocalyptinator,Nevin's Brewing Co.,Plainfield,IL,German-Style Doppelbock or Eisbock,2016,bock,56400,North Central,Illinois,East North Central
Gold,Light of Cologne,Ornery Beer Co.,Woodbridge,VA,German-Style Koelsch,2016,other german-style,40815,South,Virginia,South Atlantic
Gold,Zirkusfest Oktoberfest Lager,Hi-Wire Brewing - Big Top Production Facility,Asheville,NC,German-Style Maerzen,2016,other german-style,52586,South,North Carolina,South Atlantic
Silver,Seven Bridges,Jekyll Brewing,Alpharetta,GA,German-Style Maerzen,2016,other german-style,58876,South,Georgia,South Atlantic
Bronze,Fruhauf Oktoberfest,Pollyanna Brewing Co.,Lemont,IL,German-Style Maerzen,2016,other german-style,56400,North Central,Illinois,East North Central
Gold,Industry,The Austin Beer Garden Brewing Co.,Austin,TX,German-Style Pilsener,2016,pilsener,267339,South,Texas,West South Central
Silver,Bosque Lager,Bosque Brewing Co.,Albuquerque,NM,German-Style Pilsener,2016,pilsener,121666,West,New Mexico,Mountain
Bronze,Lokahi Pilsner,Kohola Brewery,Lahaina,HI,German-Style Pilsener,2016,pilsener,6450,West,Hawaii,Pacific
Bronze,Once You Go Schwarz...,Figueroa Mountain Brewing - Arroyo Grande,Arroyo Grande,CA,German-Style Schwarzbier,2016,schwarzbier,158693,West,California,Pacific
Gold,Gose,Reuben's Brews,Seattle,WA,German-Style Sour Ale,2016,ale,68192,West,Washington,Pacific
Silver,Gose,Kulshan Brewing Co.,Bellingham,WA,German-Style Sour Ale,2016,ale,68192,West,Washington,Pacific
Bronze,Farmers Market Citrus Gose,Sudwerk Brewing Co.,Davis,CA,German-Style Sour Ale,2016,ale,158693,West,California,Pacific
Gold,AlpenGlow,Fat Head's Brewery & Saloon,North Olmsted,OH,German-Style Wheat Ale,2016,ale,41222,North Central,Ohio,East North Central
Silver,Slam Dunkel,Steamworks Brewing Co.,Durango,CO,German-Style Wheat Ale,2016,ale,104247,West,Colorado,Mountain
Bronze,KC3=BCsterer Original Weissbier,Cedar Springs Brewing Co.,Cedar Springs,MI,German-Style Wheat Ale,2016,ale,58216,North Central,Michigan,East North Central
Gold,Dark Ale,Ground Breaker Brewing,Portland,OR,Gluten-Free Beer,2016,other,96981,West,Oregon,Pacific
Silver,Copperhead,Greenview Brewing,Madison,WI,Gluten-Free Beer,2016,other,56154,North Central,Wisconsin,East North Central
Bronze,Grapefruit IPA,Ghostfish Brewing Company,Seattle,WA,Gluten-Free Beer,2016,other,68192,West,Washington,Pacific
Gold,Kirby,Echo Brewing Co.,Frederick,CO,Golden or Blonde Ale,2016,ale,104247,West,Colorado,Mountain
Silver,Miss Conduct,Moonraker Brewing Co.,Auburn,CA,Golden or Blonde Ale,2016,ale,158693,West,California,Pacific
Bronze,German Blonde Ale,Bemidji Brewing Co.,Bemidji,MN,Golden or Blonde Ale,2016,ale,84068,North Central,Minnesota,West North Central
Gold,NoDajito,NoDa Brewing Co. - Davidson,Charlotte,NC,Herb and Spice Beer,2016,flavored,52586,South,North Carolina,South Atlantic
Silver,Ginger American Ale,Broken Compass Brewing,Breckenridge,CO,Herb and Spice Beer,2016,flavored,104247,West,Colorado,Mountain
Bronze,1634 Ale,Brewer's Alley Restaurant & Brewery,Frederick,MD,Herb and Spice Beer,2016,flavored,10577,South,Maryland,South Atlantic
Gold,Valhalla,El Rancho Brewing,Evergreen,CO,Historical Beer,2016,other,104247,West,Colorado,Mountain
Silver,Grosse Teufel,Hardywood Park Craft Brewery,Richmond,VA,Historical Beer,2016,other,40815,South,Virginia,South Atlantic
Gold,Jetty Cream Ale,Great South Bay Brewery,Bay Shore,NY,Honey Beer,2016,flavored,49576,Northeast,New York,Middle Atlantic
Silver,Spring Fever,FiftyFifty Brewing Co.,Truckee,CA,Honey Beer,2016,flavored,158693,West,California,Pacific
Bronze,Belgian Honey Blonde Ale,No Clue Craft Brewery,Rancho Cucamonga,CA,Honey Beer,2016,flavored,158693,West,California,Pacific
Gold,Humulus Insani,Uberbrew,Billings,MT,Imperial India Pale Ale,2016,ale,147138,West,Montana,Mountain
Silver,Nobility,Noble Ale Works,Anaheim,CA,Imperial India Pale Ale,2016,ale,158693,West,California,Pacific
Bronze,Hop JuJu Imperial IPA,Fat Head's Brewery,Middleburg Heights,OH,Imperial India Pale Ale,2016,ale,41222,North Central,Ohio,East North Central
Gold,Paradocs Red Imperial IPA,Raised Grain Brewing Co.,Waukesha,WI,Imperial Red Ale,2016,ale,56154,North Central,Wisconsin,East North Central
Silver,reDANKulous - Backstage Series,Founders Brewing Co.,Grand Rapids,MI,Imperial Red Ale,2016,ale,58216,North Central,Michigan,East North Central
Bronze,Wreak Havoc,Bootstrap Brewing Co.,Niwot,CO,Imperial Red Ale,2016,ale,104247,West,Colorado,Mountain
Gold,The Russian,2SP Brewing Co.,Aston,PA,Imperial Stout,2016,stout,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Gatling Gun Imperial Stout,BNS Brewing & Distilling Co.,Santee,CA,Imperial Stout,2016,stout,158693,West,California,Pacific
Bronze,Iron Triangle Jawbone,Iron Triangle Brewing Co.,Los Angeles,CA,Imperial Stout,2016,stout,158693,West,California,Pacific
Gold,Highlander Devil's Hump Red Ale,Missoula Brewing Co.,Missoula,MT,Irish-Style Red Ale,2016,ale,147138,West,Montana,Mountain
Bronze,Riley's Irish Red,The Packinghouse Brewing Co.,Riverside,CA,Irish-Style Red Ale,2016,ale,158693,West,California,Pacific
Gold,Sunnyside Dweller,Ocelot Brewing,Sterling,VA,Kellerbier or Zwickelbier,2016,other,40815,South,Virginia,South Atlantic
Silver,Kelly Alt,Snake River Brewing Co.,Jackson,WY,Kellerbier or Zwickelbier,2016,other,97914,West,Wyoming,Mountain
Bronze,Pilsner,Marble Brewery,Albuquerque,NM,Kellerbier or Zwickelbier,2016,other,121666,West,New Mexico,Mountain
Bronze,DAM Wild: Marionberry Pink Peppercorn,Flat Tail Brewing Co.,Corvallis,OR,Mixed-Culture Brett Beer,2016,other,96981,West,Oregon,Pacific
Gold,Chuckanut Helles,Chuckanut Brewery,Bellingham,WA,Munich-Style Helles,2016,other,68192,West,Washington,Pacific
Silver,Helles,Dry Dock Brewing Co. - South Dock,Aurora,CO,Munich-Style Helles,2016,other,104247,West,Colorado,Mountain
Bronze,Hell Yes,The Austin Beer Garden Brewing Co.,Austin,TX,Munich-Style Helles,2016,other,267339,South,Texas,West South Central
Silver,Backside Stout,Steamworks Brewing Co.,Durango,CO,Oatmeal Stout,2016,stout,104247,West,Colorado,Mountain
Bronze,Feelin' Your Oats,SLO Brew,San Luis Obispo,CA,Oatmeal Stout,2016,stout,158693,West,California,Pacific
Gold,Irish Walker,Olde Hickory Brewery,Hickory,NC,Old Ale or Strong Ale,2016,ale,52586,South,North Carolina,South Atlantic
Silver,COLOSSAL FIVE,Port City Brewing Co.,Alexandria,VA,Old Ale or Strong Ale,2016,ale,40815,South,Virginia,South Atlantic
Bronze,Old Silenus Ale,Migration Brewing Co.,Portland,OR,Old Ale or Strong Ale,2016,ale,96981,West,Oregon,Pacific
Gold,DBA (Double Barrel Ale),Firestone Walker Brewing Co.,Paso Robles,CA,Ordinary or Special Bitter,2016,bitter,158693,West,California,Pacific
Silver,Drop Top Amber Ale,Craft Brew Alliance - Widmer,Portland,OR,Ordinary or Special Bitter,2016,bitter,96981,West,Oregon,Pacific
Bronze,Special Bitter,Redwood Curtain Brewing Co.,Arcata,CA,Ordinary or Special Bitter,2016,bitter,158693,West,California,Pacific
Silver,Standard Issue,Central Standard Brewing,Wichita,KS,Other Belgian-Style Ale,2016,ale,82264,North Central,Kansas,West North Central
Bronze,Petite Classique,The Commons Brewery,Portland,OR,Other Belgian-Style Ale,2016,ale,96981,West,Oregon,Pacific
Gold,Anodyne Wheat Wine,Revolver Brewing,Granbury,TX,Other Strong Beer,2016,other,267339,South,Texas,West South Central
Silver,Black Muddy River,Fat Head's Brewery & Saloon,North Olmsted,OH,Other Strong Beer,2016,other,41222,North Central,Ohio,East North Central
Gold,Just RyeE2=80=99te,Panther Island Brewing Co.,Fort Worth,TX,Proam,2016,other,267339,South,Texas,West South Central
Bronze,The Kolsch Experiment,Altitude Chophouse and Brewery,Laramie,WY,Proam,2016,other,97914,West,Wyoming,Mountain
Gold,Pump Action Imperial Pumpkin Ale,4 Noses Brewing Co.,Broomfield,CO,Pumpkin Spice Beer,2016,flavored,104247,West,Colorado,Mountain
Silver,Twisted Gourd,South Street Brewery,Charlottesville,VA,Pumpkin Spice Beer,2016,flavored,40815,South,Virginia,South Atlantic
Bronze,5 Phantoms Pumpkin Spice Barleywine,Philipsburg Brewing Co.,Philipsburg,MT,Pumpkin Spice Beer,2016,flavored,147138,West,Montana,Mountain
Bronze,Butt-Ah Nut,BTU Brasserie,Portland,OR,Pumpkin/Squash Beer,2016,flavored,96981,West,Oregon,Pacific
Silver,Shallow Grave,Heretic Brewing Co.,Fairfield,CA,Robust Porter,2016,porter,158693,West,California,Pacific
Bronze,Point Reyes Porter,Marin Brewing Co.,Larkspur,CA,Robust Porter,2016,porter,158693,West,California,Pacific
Silver,Rock-Biter Roggenbier,Hop Dogma Brewing Co.,El Granada,CA,Rye Beer,2016,rye,158693,West,California,Pacific
Bronze,Runaround Rye Ale,Roundhouse Brewery,Brainerd,MN,Rye Beer,2016,rye,84068,North Central,Minnesota,West North Central
Silver,Oh My Darlyn!,Revelry Brewing Co.,Charleston,SC,Scotch Ale,2016,ale,31055,South,South Carolina,South Atlantic
Bronze,Going Plaid,Fifty West Brewing Co.,Cincinnati,OH,Scotch Ale,2016,ale,41222,North Central,Ohio,East North Central
Silver,Scottish Ale,Two Kilts Brewing,Sherwood,OR,Scottish-Style Ale,2016,ale,96981,West,Oregon,Pacific
Bronze,McGreagor Scottish Ale,Kootenai River Brewing Co.,Bonners Ferry,ID,Scottish-Style Ale,2016,ale,83557,West,Idaho,Mountain
Silver,Oatmeal Stout,Benchmark Brewing Co.,San Diego,CA,Session Beer,2016,other,158693,West,California,Pacific
Bronze,Slippery When Wit,South Street Brewery,Charlottesville,VA,Session Beer,2016,other,40815,South,Virginia,South Atlantic
Gold,Trump Hands,Cannonball Creek Brewing Co.,Golden,CO,Session India Pale Ale,2016,ale,104247,West,Colorado,Mountain
Silver,Pace Car Racer,Bear Republic Brewing Co. - Production Facility,Cloverdale,CA,Session India Pale Ale,2016,ale,158693,West,California,Pacific
Bronze,Mosaic Session IPA,Karl Strauss Brewing Co. - San Diego,San Diego,CA,Session India Pale Ale,2016,ale,158693,West,California,Pacific
Gold,Raucher,Wolverine State Brewing Co.,Ann Arbor,MI,Smoke Beer,2016,flavored,58216,North Central,Michigan,East North Central
Silver,Cowboy Curtis,Arts District Brewing Co.,Los Angeles,CA,Smoke Beer,2016,flavored,158693,West,California,Pacific
Gold,Windansea Wheat,Karl Strauss Brewing Co. - San Diego,San Diego,CA,South German-Style Hefeweizen,2016,hefeweizen,158693,West,California,Pacific
Silver,WeiC3==9Fbier,Prost Brewing,Denver,CO,South German-Style Hefeweizen,2016,hefeweizen,104247,West,Colorado,Mountain
Bronze,Shotgun Betty,Lonerider Brewing Co.,Raleigh,NC,South German-Style Hefeweizen,2016,hefeweizen,52586,South,North Carolina,South Atlantic
Gold,Campfire Stout,High Water Brewing,Stockton,CA,Specialty Beer,2016,other,158693,West,California,Pacific
Bronze,GAZPROM!,Lion Bridge Brewing Co.,Cedar Rapids,IA,Specialty Beer,2016,other,56290,North Central,Iowa,West North Central
Gold,Six Finger Sam Saison,Two Rivers Brewing Co.,Easton,PA,Specialty Saison,2016,saison,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,#4 Saison,Brown Truck Brewery,High Point,NC,Specialty Saison,2016,saison,52586,South,North Carolina,South Atlantic
Bronze,Creme de Peche,The Commons Brewery,Portland,OR,Specialty Saison,2016,saison,96981,West,Oregon,Pacific
Silver,Duck-Rabbit Milk Stout,Duck-Rabbit Craft Brewery,Farmville,NC,Sweet Stout or Cream Stout,2016,stout,52586,South,North Carolina,South Atlantic
Gold,Vienna Lager,Devils Backbone Brewing Co. - Outpost Production Facility,Lexington,VA,Vienna-Style Lager,2016,lager,40815,South,Virginia,South Atlantic
Bronze,Churchville Lager,Neshaminy Creek Brewing Co.,Croydon,PA,Vienna-Style Lager,2016,lager,45333,Northeast,Pennsylvania,Middle Atlantic
Gold,Drama Queen,Denver Beer Co. - Canworks,Denver,CO,Wood- and Barrel-Aged Beer,2016,aged,104247,West,Colorado,Mountain
