medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Bronze,Four,Allagash Brewing Co.,Portland,ME,Belgian Style Abbey Ale,2007,ale,33215,Northeast,Maine,New England
Gold,Celis Grand Cru,Michigan Brewing Co.,Webberville,MI,Belgian Style Strong Specialty Ale,2007,ale,58216,North Central,Michigan,East North Central
Silver,Redrock Reve,Redrock Brewing Co.,Salt Lake City,UT,Belgian Style Strong Specialty Ale,2007,ale,84916,West,Utah,Mountain
Gold,High Mountain Cherry Ale,Rubicon Brewing Co.,Sacramento,CA,Belgian-Style Sour Ale,2007,ale,158693,West,California,Pacific
Silver,Supplication,Russian River Brewing Co.,Santa Rosa,CA,Belgian-Style Sour Ale,2007,ale,158693,West,California,Pacific
Bronze,Kriek de Hill,Iron Hill Brewery & Restaurant - Media,Media,PA,Belgian-Style Sour Ale,2007,ale,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,John's Generations White Ale,Millstream Brewing Co.,Amana,IA,Belgian-Style White (or Wit)/Belgian-Style Wheat,2007,wheat,56290,North Central,Iowa,West North Central
Gold,Pub Bitter,Deschutes Brewery,Bend,OR,Bitter or Pale Mild Ale,2007,ale,96981,West,Oregon,Pacific
Silver,Squatters Organic Amber Ale,Utah Brewers Cooperative,Salt Lake City,UT,Bitter or Pale Mild Ale,2007,ale,84916,West,Utah,Mountain
Gold,Troegenator,TrC3=B6egs Brewing Co.,Harrisburg,PA,Bock,2007,bock,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Gruffmeister 8 Maibock,Foothills Brewing,Winston-Salem,NC,Bock,2007,bock,52586,South,North Carolina,South Atlantic
Bronze,Butthead Bock,Tommyknocker Brewery,Idaho Springs,CO,Bock,2007,bock,104247,West,Colorado,Mountain
Gold,Gordon Biersch Czech Lager,Gordon Biersch Brewery Restaurant Group,Chattanooga,TN,Bohemian Style Pilsener,2007,pilsener,42244,South,Tennessee,East South Central
Silver,Pallavicini Pilsner,Pug Ryan's Brewery,Dillon,CO,Bohemian Style Pilsener,2007,pilsener,104247,West,Colorado,Mountain
Bronze,Detroit Lager,Detroit Beer Co. (The),Detroit,MI,Bohemian Style Pilsener,2007,pilsener,58216,North Central,Michigan,East North Central
Gold,Pioneer Porter,Fredericksburg Brewing Co.,Fredericksburg,TX,Brown Porter,2007,porter,267339,South,Texas,West South Central
Silver,Prospector Porter,Tommyknocker Brewery,Idaho Springs,CO,Brown Porter,2007,porter,104247,West,Colorado,Mountain
Gold,Organic Zwickelbier,Redrock Brewing Co.,Salt Lake City,UT,Cellar or Unfiltered Beer,2007,other,84916,West,Utah,Mountain
Silver,Cambridge Amber,Cambridge Brewing Co.,Cambridge,MA,Cellar or Unfiltered Beer,2007,other,8257,Northeast,Massachusetts,New England
Bronze,Hop Angel I.P.A.,Chelsea Brewing Co.,New York,NY,Cellar or Unfiltered Beer,2007,other,49576,Northeast,New York,Middle Atlantic
Silver,DBA (Double Barrel Ale),Firestone Walker Brewing Co.,Paso Robles,CA,Classic English Style Pale Ale,2007,ale,158693,West,California,Pacific
Bronze,Summit Extra Pale Ale,Summit Brewing Co.,St. Paul,MN,Classic English Style Pale Ale,2007,ale,84068,North Central,Minnesota,West North Central
Gold,Moylan's Irish Dry Stout,Moylan's Brewing Co.,Novato,CA,Classic Irish-Style Dry Stout,2007,stout,158693,West,California,Pacific
Bronze,Blarney Sisters Dry Irish Stout,Third Street AleWorks,Santa Rosa,CA,Classic Irish-Style Dry Stout,2007,stout,158693,West,California,Pacific
Gold,Coffee Bender,Surly Brewing Co.,Brooklyn Center,MN,Coffee Flavored Beer,2007,flavored,84068,North Central,Minnesota,West North Central
Silver,Java Porter,Blind Tiger Brewery & Restaurant,Topeka,KS,Coffee Flavored Beer,2007,flavored,82264,North Central,Kansas,West North Central
